,Name,Rank,Tuition and fees
154,University of California--Merced,152,"$39,944 "
155,University of Illinois--Chicago,152,"$26,526 "
156,University of La Verne,152,"$39,900 "
157,University of Massachusetts--Lowell,152,"$29,125 "
158,Seattle Pacific University,159,"$38,940 "
159,University of Alabama--Birmingham,159,"$17,654 "
160,University of Maryland--Baltimore County,159,"$24,492 "
161,University of Rhode Island,159,"$28,852 "
162,University of South Florida,159,"$17,325 "
163,Biola University,164,"$36,696 "
164,Maryville University of St. Louis,164,"$27,958 "
165,Missouri University of Science & Technology,164,"$26,152 "
166,St. John's University,164,"$39,460 "
167,Virginia Commonwealth University,164,"$31,608 "
168,Union University,169,"$30,420 "
169,University of Hawaii--Manoa,169,"$33,764 "
170,Edgewood College,171,"$27,530 "
171,Florida Institute of Technology,171,"$40,446 "
172,University of Idaho,171,"$22,040 "
173,University of Louisville,171,"$24,626 "
174,University of Wyoming,171,"$16,215 "
175,Ball State University,176,"$25,428 "
176,Lipscomb University,176,"$29,756 "
177,Mississippi State University,176,"$20,142 "
178,Montclair State University,176,"$20,318 "
179,Texas Tech University,176,"$22,861 "
180,University of Central Florida,176,"$22,467 "
181,University of New Mexico,176,"$21,302 "
182,Andrews University,183,"$27,684 "
183,Azusa Pacific University,183,"$36,120 "
184,University of Maine,183,"$29,498 "
185,West Virginia University,183,"$21,432 "
186,Widener University,183,"$42,870 "
187,Kent State University,188,"$18,376 "
188,North Dakota State University,188,"$19,790 "
189,Pace University,188,"$42,772 "
190,Robert Morris University,188,"$28,250 "
191,Suffolk University,188,"$35,578 "
192,University of Hartford,188,"$37,790 "
193,Bowling Green State University,194,"$18,332 "
194,University of Houston,194,"$25,410 "
195,Western Michigan University,194,"$25,713 "
196,Indiana University-Purdue University--Indianapolis,197,"$29,791 "
197,Lesley University,197,"$25,750 "
198,University of Alabama--Huntsville,197,"$20,622 "
199,University of Colorado--Denver,197,"$29,334 "
200,University of Nevada--Reno,197,"$21,052 "
201,California State University--Fullerton,202,"$17,596 "
202,Central Michigan University,202,"$23,670 "
203,Louisiana Tech University,202,"$25,851 "
204,South Dakota State University,202,"$11,403 "
205,University of Alaska--Fairbanks,202,"$22,469 "
206,University of North Carolina--Charlotte,202,"$20,193 "
207,University of North Dakota,202,"$18,899 "
208,University of South Dakota,202,"$11,688 "
209,East Carolina University,210,"$22,904 "
210,Montana State University,210,"$23,042 "
211,Old Dominion University,210,"$27,028 "
212,University of Missouri--Kansas City,210,"$22,714 "
213,Ashland University,214,"$20,392 "
214,Dallas Baptist University,214,"$26,180 "
215,Northern Illinois University,214,"$23,799 "
216,Nova Southeastern University,214,"$27,660 "
217,Southern Illinois University--Carbondale,214,"$27,130 "
218,University of Montana,214,"$24,562 "
219,Benedictine University,220,"$32,170 "
220,California State University--Fresno,220,"$17,209 "
221,Gardner-Webb University,220,"$29,850 "
222,New Mexico State University,220,"$21,234 "
223,Shenandoah University,220,"$31,322 "
224,Tennessee Technological University,220,"$24,800 "
225,University of Massachusetts--Boston,220,"$32,023 "
226,University of Massachusetts--Dartmouth,220,"$19,270 "
227,University of Missouri--St. Louis,220,"$26,277 "
228,University of North Carolina--Greensboro,220,"$21,595 "
229,University of Southern Mississippi,220,"$16,094 "
230,Utah State University,220,"$19,772 "
