Name,Genre,Description,Year,Runtime
Footlight Parade,"Comedy, Musical, Romance            ","Chester Kent struggles against time, romance, and a rival's spy to produce spectacular live ""prologues"" for movie houses.",1933,104 min
Gold Diggers of 1933,"Comedy, Drama, Musical            ","A wealthy composer rescues unemployed Broadway performers with a new play, but insists on remaining anonymous.",1933,97 min
King Kong,"Adventure, Horror, Sci-Fi            ",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,1933,100 min
Sons of the Desert,"Comedy, Family            ","When Stan and Ollie trick their wives into thinking that they are taking a medicinal cruise while they're actually going to a convention, the wives find out the truth the hard way.",1933,68 min
The Invisible Man,"Horror, Sci-Fi            ","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",1933,71 min
Dames,"Comedy, Music, Musical            ","A multimillionaire decides to boycott ""filthy"" forms of entertainment such as Broadway shows.",1934,91 min
The Man Who Knew Too Much,"Crime, Mystery, Thriller            ",An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.,1934,75 min
The Scarlet Empress,"Drama, History, Romance            ","A German noblewoman enters into a loveless marriage with the dim-witted, unstable heir to the Russian throne, then plots to oust him from power.",1934,104 min
Twentieth Century,"Comedy, Romance            ","A flamboyant Broadway impresario who has fallen on hard times tries to get his former lover, now a Hollywood diva, to return and resurrect his failing career.",1934,91 min
A Night at the Opera,"Comedy, Music, Musical            ",A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,1935,96 min
Bride of Frankenstein,"Drama, Horror, Sci-Fi            ","Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",1935,75 min
Top Hat,"Comedy, Musical, Romance            ","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",1935,101 min
Modern Times,"Comedy, Drama, Romance            ",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,87 min
The Awful Truth,"Comedy, Romance            ","A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.",1937,90 min
Angels with Dirty Faces,"Crime, Drama, Film-Noir            ",A priest tries to stop a gangster from corrupting a group of street kids.,1938,97 min
Bringing Up Baby,Comedy            ,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",1938,102 min
The Adventures of Robin Hood,"Action, Adventure, Romance            ","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",1938,102 min
The Lady Vanishes,"Mystery, Thriller            ","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",1938,96 min
The Roaring Twenties,"Crime, Drama, Film-Noir            ",Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.,1939,106 min
The Wizard of Oz,"Adventure, Family, Fantasy            ","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",1939,102 min
Fantasia,"Animation, Family, Fantasy            ","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",1940,125 min
His Girl Friday,"Comedy, Drama, Romance            ",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,1940,92 min
Pinocchio,"Animation, Adventure, Comedy            ","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",1940,88 min
The Bank Dick,Comedy            ,Henpecked Egbert Sousé has comic adventures as a substitute film director and unlikely bank guard.,1940,72 min
The Grapes of Wrath,Drama            ,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",1940,129 min
Citizen Kane,"Drama, Mystery            ","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1941,119 min
Dumbo,"Animation, Adventure, Drama            ","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",1941,64 min
Sullivan's Travels,"Adventure, Comedy, Drama            ",Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,1941,90 min
Suspicion,"Film-Noir, Mystery, Thriller            ","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",1941,99 min
The Maltese Falcon,"Crime, Film-Noir, Mystery            ","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",1941,100 min
Cat People,"Fantasy, Horror, Thriller            ",An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,1942,73 min
Road to Morocco,"Adventure, Comedy, Family            ","Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",1942,82 min
I Walked with a Zombie,"Drama, Fantasy, Horror            ","A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island.",1943,69 min
Shadow of a Doubt,"Film-Noir, Thriller            ","A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",1943,108 min
The Life and Death of Colonel Blimp,"Drama, Romance, War            ","From the Boer War through World War II, a soldier rises through the ranks in the British military.",1943,163 min
Arsenic and Old Lace,"Comedy, Crime, Thriller            ",A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,1944,118 min
Double Indemnity,"Crime, Drama, Film-Noir            ","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",1944,107 min
"Murder, My Sweet","Crime, Drama, Film-Noir            ","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",1944,95 min
Brief Encounter,"Drama, Romance            ","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",1945,86 min
Dead of Night,"Drama, Horror            ","The guests invited to weekend in the country share their supernatural stories, beginning with Walter Craig, who senses impending doom as his half-remembered recurring dream turns into reality.",1945,103 min
Detour,"Crime, Drama, Film-Noir            ","Chance events trap hitchhiking nightclub pianist Al Roberts in a tightening net of death, deception and blackmail.",1945,68 min
The Lost Weekend,"Drama, Film-Noir            ",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,1945,101 min
A Matter of Life and Death,"Drama, Fantasy, Romance            ","A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.",1946,104 min
La belle et la bête,"Drama, Fantasy, Romance            ","A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",1946,96 min
Notorious,"Drama, Film-Noir, Romance            ",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,1946,102 min
The Big Sleep,"Crime, Film-Noir, Mystery            ","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",1946,114 min
The Killers,"Crime, Drama, Film-Noir            ","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",1946,103 min
Black Narcissus,Drama            ,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",1947,101 min
Brighton Rock,"Crime, Drama, Film-Noir            ","In Brighton in 1935, small-time gang leader Pinkie Brown murders a journalist and later desperately tries to cover his tracks but runs into trouble with the police, a few witnesses, and a rival gang.",1947,92 min
Nightmare Alley,"Drama, Film-Noir            ","The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",1947,110 min
Odd Man Out,"Crime, Drama, Film-Noir            ",A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,1947,116 min
Out of the Past,"Crime, Drama, Film-Noir            ","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",1947,97 min
Ladri di biciclette,Drama            ,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1948,89 min
Oliver Twist,Drama            ,"In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home.",1948,116 min
Rope,"Crime, Drama, Mystery            ",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,1948,80 min
The Red Shoes,"Drama, Music, Romance            ",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,1948,135 min
The Treasure of the Sierra Madre,"Adventure, Drama, Western            ",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1948,126 min
Caught,"Drama, Film-Noir, Romance            ",An ambitious young LA department store model gets her wish of marrying a millionaire but she eventually discovers that rich life isn't always a happy one.,1949,88 min
Criss Cross,"Crime, Drama, Film-Noir            ",An armored truck driver and his ex-wife conspire with a gang to have his own truck robbed on the route.,1949,84 min
Jour de fête,Comedy            ,A village postman with no sense of humour delivers his mail via bicycle on the day the travelling fair comes to town. He is disrupted by a short film about US speed and efficiency and the playful teasing of the village folk.,1949,70 min
Kind Hearts and Coronets,"Comedy, Crime            ",A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,1949,106 min
The Third Man,"Film-Noir, Mystery, Thriller            ","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949,104 min
White Heat,"Action, Crime, Drama            ",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,1949,114 min
All About Eve,Drama            ,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1950,138 min
D.O.A.,"Crime, Drama, Film-Noir            ","Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why.",1949,83 min
Gun Crazy,"Crime, Drama, Film-Noir            ",Two disturbed young people release their fascination with guns through a crime spree.,1950,87 min
In a Lonely Place,"Drama, Film-Noir, Mystery            ","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",1950,94 min
Los olvidados,"Crime, Drama            ","A group of juvenile delinquents lives a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",1950,85 min
Rashômon,"Crime, Drama, Mystery            ","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1950,88 min
Sunset Blvd.,"Drama, Film-Noir            ",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,110 min
The Asphalt Jungle,"Crime, Drama, Film-Noir            ","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",1950,112 min
Ace in the Hole,"Drama, Film-Noir            ","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",1951,111 min
An American in Paris,"Drama, Musical, Romance            ",Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,1951,114 min
Strangers on a Train,"Crime, Drama, Film-Noir            ",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,1951,101 min
The Prowler,"Drama, Film-Noir, Thriller            ",After Susan Gilvray reports a prowler outside her house police officer Webb Garwood investigates and sparks fly. If only her husband wasn't in the way.,1951,92 min
High Noon,"Drama, Thriller, Western            ","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.",1952,85 min
Singin' in the Rain,"Comedy, Musical, Romance            ",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1952,103 min
Duck Amuck,"Animation, Short, Comedy            ","The short-tempered Daffy Duck must improvise madly as the backgrounds, his costumes, the soundtrack, even his physical form, shifts and changes at the whim of the animator.",1953,7 min
Glen or Glenda,Drama            ,A psychiatrist tells the stories of a transvestite (Glen or Glenda) and a pseudohermaphrodite (Alan or Anne).,1953,65 min
House of Wax,Horror            ,"An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.",1953,88 min
Les vacances de Monsieur Hulot,Comedy            ,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc.",1953,114 min
The Band Wagon,"Comedy, Musical, Romance            ",A pretentiously artistic director is hired for a new Broadway musical and changes it beyond recognition.,1953,112 min
The Big Heat,"Crime, Film-Noir, Thriller            ",Tough cop Dave Bannion takes on a politically powerful crime syndicate.,1953,89 min
Le salaire de la peur,"Adventure, Drama, Thriller            ","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",1953,131 min
Gojira,"Horror, Sci-Fi            ","American nuclear-weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast.",1954,96 min
Magnificent Obsession,"Drama, Romance            ","A rich playboy whose recklessness inadvertently causes the death of a prominent doctor tries to make amends to his widow, and falls for her in the process.",1954,108 min
Rear Window,"Mystery, Thriller            ","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",1954,112 min
Shichinin no samurai,"Action, Drama            ","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the village is attacked by an army of bandits.",1954,207 min
Them!,"Horror, Sci-Fi            ",The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,1954,94 min
All That Heaven Allows,"Drama, Romance            ","An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.",1955,89 min
Bad Day at Black Rock,"Crime, Drama, Mystery            ","A one-armed stranger comes to a tiny town possessing a terrible past they want to keep secret, by violent means if necessary.",1955,81 min
Les diaboliques,"Crime, Drama, Horror            ",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,1955,117 min
It's Always Fair Weather,"Comedy, Drama, Musical            ","Three soldiers meet ten years after their last meeting in New York, and find out that they have little in common now.",1955,101 min
Kiss Me Deadly,"Crime, Film-Noir, Mystery            ","A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".",1955,106 min
Rebel Without a Cause,Drama            ,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",1955,111 min
Du rififi chez les hommes,"Crime, Drama, Thriller            ","Four men plan a technically perfect crime, but the human element intervenes...",1955,118 min
The Big Combo,"Crime, Drama, Film-Noir            ","A police lieutenant is ordered to stop investigating deadly crime boss Mr. Brown because he hasn't been able to get any hard evidence against him. He goes after Brown's girlfriend, who despises him, for information instead.",1955,87 min
The Court Jester,"Adventure, Comedy, Family            ",A hapless carnival performer masquerades as the court jester as part of a plot against an evil ruler who has overthrown the rightful King.,1955,101 min
The Ladykillers,"Comedy, Crime            ",Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,1955,91 min
The Night of the Hunter,"Crime, Drama, Film-Noir            ","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",1955,92 min
The Quatermass Xperiment,"Horror, Sci-Fi            ","Professor Bernard Quatermass' manned rocket ship returns to Earth, but two of the astronauts are missing and the survivor seems ill and unable to communicate.",1955,82 min
Bigger Than Life,Drama            ,"A seriously ill schoolteacher becomes dependent on a ""miracle"" drug that begins to affect his sanity.",1956,95 min
Forbidden Planet,"Adventure, Sci-Fi            ","A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",1956,98 min
Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi            ",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,1956,80 min
The Bad Seed,"Drama, Horror, Thriller            ","Rhoda Penmark seems like your average, sweet eight-year-old girl. When her rival at school dies in mysterious circumstances at the school picnic her mother starts to suspect that Rhoda was responsible.",1956,129 min
The Killing,"Crime, Drama, Film-Noir            ",Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,1956,84 min
The Searchers,"Adventure, Drama, Western            ",An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,1956,119 min
Written on the Wind,Drama            ,"Alcoholic playboy Kyle Hadley marries the woman secretly loved by his poor but hard-working best friend, who in turn is pursued by Kyle's nymphomaniac sister.",1956,99 min
12 Angry Men,"Crime, Drama            ",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957,96 min
A Face in the Crowd,"Drama, Music            ",A female radio reporter turns a folk-singing drifter into a powerful media star.,1957,126 min
Night of the Demon,"Fantasy, Horror, Mystery            ","American professor John Holden arrives in London for a parapsychology conference, only to find himself investigating the mysterious actions of Devil-worshiper Julian Karswell.",1957,95 min
Funny Face,"Comedy, Musical, Romance            ",An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,1957,103 min
Kanal,"Drama, War            ","In 1944, during the Warsaw uprising against the Nazis, Polish Lieutenant Zadra and his resistance fighters use Warsaw's sewer system to escape the German encirclement.",1957,91 min
Paths of Glory,"Drama, War            ","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",1957,88 min
Quatermass 2,"Sci-Fi, Horror            ","Professor Quatermass, trying to gather support for his Lunar colonisation project, is intrigued by mysterious traces that have been showing up.",1957,85 min
Sweet Smell of Success,"Drama, Film-Noir            ",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,1957,96 min
The Bridge on the River Kwai,"Adventure, Drama, War            ","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",1957,161 min
The Curse of Frankenstein,"Horror, Sci-Fi, Thriller            ","While awaiting execution for murder, Baron Victor Frankenstein tells the story of a creature he built and brought to life - only for it to behave not as he intended.",1957,82 min
The Incredible Shrinking Man,"Horror, Sci-Fi            ","When Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",1957,81 min
The Monolith Monsters,"Drama, Horror, Sci-Fi            ",Rocks from a meteor which grow when in contact with water threaten a sleepy Southwestern desert community.,1957,77 min
Det sjunde inseglet,"Drama, Fantasy            ","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1957,96 min
Kumonosu-jô,"Drama, History            ","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",1957,110 min
"What's Opera, Doc?","Animation, Short, Comedy            ","Elmer Fudd is again hunting rabbits - only this time it's an opera. Wagner's Siegfried with Elmer as the titular hero and Bugs as Brunnhilde. They sing, they dance, they eat the scenery.",1957,7 min
Smultronstället,"Drama, Romance            ","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1957,91 min
A Night to Remember,"Drama, History            ","On her maiden voyage in April 1912, the supposedly unsinkable RMS Titanic strikes an iceberg in the Atlantic Ocean.",1958,123 min
Popiól i diament,"Drama, Romance, War            ","As WWII and the German occupation ends, the Polish resistance and the Russian forces turn on each other in an attempt to take over leadership in Communist Poland.",1958,103 min
Dracula,"Drama, Horror            ","Jonathan Harker rouses the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses. Harker's friend, Dr. Van Helsing, then embarks on a hunt for the predatory villain when he targets Harker's loved ones.",1958,82 min
Ascenseur pour l'échafaud,"Crime, Drama, Thriller            ","A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.",1958,91 min
Mon oncle,Comedy            ,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.",1958,116 min
The 7th Voyage of Sinbad,"Action, Adventure, Family            ","When a princess is shrunken by an evil wizard, Sinbad must undertake a quest to an island of monsters to cure her and prevent a war.",1958,88 min
The Fly,"Drama, Horror, Sci-Fi            ",A scientist has a horrific accident when he tries to use his newly invented teleportation device.,1958,94 min
Touch of Evil,"Crime, Drama, Film-Noir            ","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",1958,95 min
Vertigo,"Mystery, Romance, Thriller            ","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1958,128 min
"Whoa, Be-Gone!","Animation, Family, Short            ","Wile E. Coyote's plans for catching the Road Runner involve a giant elastic spring, a gun and trampoline, TNT sticks in a barrel, and tornado seeds. The last of these schemes results in the...                See full summary »",1958,6 min
A Bucket of Blood,"Comedy, Crime, Horror            ",A dim-witted busboy finds acclaim as an artist for a plaster-covered dead cat that is mistaken as a skillful statuette. The desire for more praise soon leads to an increasingly deadly series of works.,1959,66 min
Ben-Hur,"Adventure, Drama            ","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",1959,212 min
Imitation of Life,Drama            ,An aspiring white actress takes in an African-American widow whose mixed-race daughter is desperate to be seen as white.,1959,125 min
North by Northwest,"Action, Adventure, Mystery            ","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959,136 min
Odds Against Tomorrow,"Crime, Drama, Thriller            ","In need of quick money, a fallen former cop recruits a hard-bitten ex-con and a debt-ridden nightclub singer to pull off a bank job. But as the animosity between them boils over, the entire plan threatens to implode.",1959,96 min
Rio Bravo,Western            ,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",1959,141 min
Les quatre cents coups,"Crime, Drama            ","A young boy, left without attention, delves into a life of petty crime.",1959,99 min
The Mouse That Roared,Comedy            ,"An impoverished backward nation declares a war on the United States of America, hoping to lose, but things don't go according to plan.",1959,83 min
Beat Girl,Drama            ,An impetuous teenage girl becomes involved with Soho's beatnik and striptease scenes to spite her staid architect father and her French ex-stripper stepmother.,1960,89 min
La maschera del demonio,Horror            ,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant.,1960,87 min
À bout de souffle,"Crime, Drama            ","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",1960,90 min
Les yeux sans visage,"Drama, Horror            ",A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,1960,90 min
La dolce vita,"Comedy, Drama            ",A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,1960,174 min
